symbol,detected_at,signal_type,rank,total_score,score_slope,score_volume,score_rsi,score_hold,score_deviation,score_macd,score_weekly,entry_price,exit_price,return_pct,holding_days,rsi_value,volume_ratio,deviation_pct
5240.T,2025-06-03,GC,B,68,20,-15,15,25,0,8,15,340,350,2.9412,5,67.57,0.23,12.95
5832.T,2025-06-26,GC,D,35,10,0,-15,25,10,-10,15,1746,1754.5,0.4868,5,42.21,1,6.65
3844.T,2025-06-11,GC,C,48,20,10,-5,15,10,8,-10,1804,1764,-2.2173,5,83.15,1.03,5.35
5586.T,2025-06-26,GC,C,55,-10,20,15,25,0,-10,15,1231,1080,-12.2665,5,51.5,2.32,11.5
7481.T,2025-06-05,GC,B,68,10,-15,15,25,10,8,15,2027,2084,2.812,5,67.96,0.5,2.3
8746.T,2025-06-29,GC,D,35,20,-15,15,25,10,-10,-10,291,292,0.3436,5,57.14,0.27,2.33
256A.T,2025-06-04,GC,C,55,20,10,-15,25,10,-10,15,1873,1866,-0.3737,5,25.77,1.02,6.83
2869.T,2025-06-17,GC,B,60,20,10,15,25,-15,-10,15,46890,47850,2.0473,5,58.92,1.06,15.66
7447.T,2025-06-03,GC,D,0,-20,0,-15,25,-10,-10,15,1896,1893,-0.1582,5,10.27,0.95,-4.46
5619.T,2025-06-29,GC,B,75,20,20,5,25,0,-10,15,994,1000,0.6036,5,47.09,1.83,8.13
9377.T,2025-06-10,GC,D,25,20,-15,5,25,-15,-10,15,1534,1529,-0.3259,5,47.06,0.48,17.62
9107.T,2025-06-18,GC,D,10,0,-15,-15,25,10,-10,15,2067.5,2018.5,-2.37,5,35.53,0.56,1.02
2307.T,2025-06-24,GC,D,0,-20,-15,-15,25,-10,-10,-10,1042,1005,-3.5509,5,44,0.28,0
6177.T,2025-06-04,GC,B,60,20,-15,15,25,10,-10,15,99,99,0,5,53.85,0.2,5.39
1890.T,2025-06-05,GC,C,58,20,-15,-5,25,10,8,15,1434,1474,2.7894,5,70.31,0.53,6.55
9107.T,2025-06-04,GC,C,50,20,-15,15,15,10,-10,15,2177,2060,-5.3744,5,56.14,0.7,5.78
8919.T,2025-06-26,GC,C,58,20,10,-5,25,-15,8,15,2491,2405,-3.4524,5,71.36,1.12,16.54
3481.T,2025-06-11,GC,A,80,-20,20,15,25,10,15,15,117400,118000,0.5111,5,68,2.92,1.23
3538.T,2025-06-12,GC,A,100,10,20,15,25,10,15,15,1028,1028,0,5,60.26,1.77,3.12
8136.T,2025-06-12,GC,B,68,20,0,15,0,10,8,15,1336.6,1401.8,4.878,5,57.39,0.7,5.65
4370.T,2025-06-04,GC,D,33,20,-15,-5,25,-15,8,15,404,395,-2.2277,5,75,0.59,24.75
6330.T,2025-06-25,GC,C,48,20,10,-5,0,0,8,15,754,928,23.0769,5,74.45,1.2,11.21
6193.T,2025-06-11,GC,D,0,-20,0,-15,25,-10,-10,-10,785,893,13.758,5,24.39,0.83,-3.69
2454.T,2025-06-19,GC,C,50,10,-15,15,25,10,-10,15,354,356,0.565,5,60.42,0.33,3.61
2243.T,2025-06-26,GC,B,68,20,20,-5,25,-15,8,15,1910,1936,1.3613,5,79.1,2.99,19.88
7455.T,2025-06-30,GC,D,0,-20,10,-15,25,-10,-10,15,277,282,1.8051,5,35,1.02,-1.3
